year,origin_region,destination_region,volume_mt,transport_cost_usd_per_mt,is_cross_region
2025,LATAM,EU,1.53611745,50.0,True
2025,ROW,EU,1.3785487,55.0,True
2025,US,EU,4.8761238,45.0,True
2025,US,ROW,0.41058295,60.0,True
2025,APAC,ROW,0.96696647,40.0,True
2025,APAC,LATAM,1.53511773,70.0,True
2025,APAC,APAC,2.7283415,0.0,False
2025,MENA,APAC,2.50108431,45.0,True
2025,MENA,US,2.82435609,50.0,True
2025,EU,US,2.46135126,45.0,True
2025,EU,MENA,5.32443969,35.0,True
2026,LATAM,EU,2.3632703,50.0,True
2026,ROW,EU,2.13291605,55.0,True
2026,US,EU,7.20169606,45.0,True
2026,US,ROW,1.15994179,60.0,True
2026,APAC,ROW,0.97197432,40.0,True
2026,APAC,LATAM,2.3622702,70.0,True
2026,APAC,APAC,4.75060698,0.0,False
2026,MENA,APAC,3.33324405,45.0,True
2026,MENA,US,4.9066993,50.0,True
2026,EU,US,3.45393874,45.0,True
2026,EU,MENA,8.23894323,35.0,True
