year,total_demand_mt,total_produced_mt,total_traded_mt,market_balanced,expansion_triggered,expansion_npv_usd_m
2025,26.54302995,26.54303,23.814688,True,True,0.215
2026,40.875501019999994,40.875501,36.124894,True,True,0.106
2027,138.50925524,0.0,0.0,False,True,0.0
2028,186.92534052999997,0.0,0.0,False,True,0.0
2029,236.32882104,0.0,0.0,False,True,0.0
2030,289.1064515,0.0,0.0,False,True,0.0
2031,344.1518011200001,0.0,0.0,False,True,0.0
2032,392.66228548,0.0,0.0,False,True,0.0
2033,444.06236567,0.0,0.0,False,True,0.0
2034,497.84181001999997,0.0,0.0,False,True,0.0
2035,554.4298296,0.0,0.0,False,True,0.0
2036,614.58335388,0.0,0.0,False,True,0.0
2037,669.79798913,0.0,0.0,False,True,0.0
2038,728.4059355900001,0.0,0.0,False,True,0.0
2039,789.24858933,0.0,0.0,False,True,0.0
2040,853.0860871500001,0.0,0.0,False,True,0.0
2041,920.69559522,0.0,0.0,False,True,0.0
2042,990.9153343400001,0.0,0.0,False,True,0.0
2043,1065.51271658,0.0,0.0,False,True,0.0
2044,1142.6710727299999,0.0,0.0,False,True,0.0
2045,1176.89354724,0.0,0.0,False,True,0.0
