year,origin_region,destination_region,volume_mt,transport_cost_usd_per_mt,is_cross_region
2025,US,EU,0.265285,45.0,True
2025,APAC,EU,0.2624715,65.0,True
2025,LATAM,EU,0.0777563,50.0,True
2025,ROW,EU,0.06987765,55.0,True
2025,EU,EU,0.28618252,0.0,False
2025,EU,ROW,0.06887747,55.0,True
2025,EU,LATAM,0.07675589,50.0,True
2025,EU,APAC,0.26147129,65.0,True
2025,EU,MENA,0.26622198,35.0,True
2025,EU,US,0.00306315,45.0,True
2025,MENA,US,0.26122222,50.0,True
2026,US,EU,0.6190567,45.0,True
2026,APAC,EU,0.40519245,65.0,True
2026,LATAM,EU,0.1191139,50.0,True
2026,EU,EU,0.0162531,0.0,False
2026,ROW,ROW,0.10659581,0.0,False
2026,ROW,LATAM,0.00099974,65.0,True
2026,EU,LATAM,0.11711377,50.0,True
2026,EU,APAC,0.40419255,65.0,True
2026,MENA,MENA,0.41194716,0.0,False
2026,EU,US,0.61805651,45.0,True
2027,LATAM,EU,0.404906,50.0,True
2027,ROW,EU,0.3676046,55.0,True
2027,US,EU,1.73731187,45.0,True
2027,US,ROW,0.08310168,60.0,True
2027,APAC,ROW,0.28350303,40.0,True
2027,APAC,LATAM,0.40390577,70.0,True
2027,APAC,APAC,0.70210235,0.0,False
2027,EU,APAC,0.68640884,65.0,True
2027,EU,MENA,1.41655815,35.0,True
2027,EU,US,0.40785566,45.0,True
2027,MENA,US,1.41155749,50.0,True
2028,LATAM,EU,0.53967945,50.0,True
2028,US,EU,2.50463295,45.0,True
2028,ROW,EU,0.41550618,55.0,True
2028,ROW,ROW,0.07722522,0.0,False
2028,EU,ROW,0.41450629,55.0,True
2028,EU,LATAM,0.53867931,50.0,True
2028,APAC,APAC,3.22566437,0.0,False
2028,EU,MENA,1.89976412,35.0,True
2028,EU,US,0.60786948,45.0,True
2028,APAC,US,0.00100023,55.0,True
2028,MENA,US,1.89476351,50.0,True
2029,LATAM,EU,0.68117215,50.0,True
2029,US,EU,3.21610505,45.0,True
2029,ROW,EU,0.24411901,55.0,True
2029,ROW,ROW,0.38133224,0.0,False
2029,APAC,ROW,0.24311932,40.0,True
2029,EU,LATAM,0.68017237,50.0,True
2029,APAC,APAC,3.50077028,0.0,False
2029,EU,APAC,0.24211968,65.0,True
2029,EU,MENA,2.41215923,35.0,True
2029,EU,US,0.80794467,45.0,True
2029,MENA,US,2.40716009,50.0,True
2030,LATAM,EU,0.8296476,50.0,True
2030,US,EU,3.95591785,45.0,True
2030,ROW,EU,0.69088205,55.0,True
2030,ROW,ROW,0.0752459,0.0,False
2030,APAC,ROW,0.68988169,40.0,True
2030,APAC,LATAM,0.82864762,70.0,True
2030,APAC,APAC,2.77174199,0.0,False
2030,EU,APAC,1.51752945,65.0,True
2030,EU,MENA,2.95513249,35.0,True
2030,EU,US,1.00478566,45.0,True
2030,MENA,US,2.95013187,50.0,True
2031,LATAM,EU,0.98537695,50.0,True
2031,US,EU,4.72520355,45.0,True
2031,ROW,EU,0.52606425,55.0,True
2031,ROW,ROW,0.3890738,0.0,False
2031,APAC,ROW,0.52506428,40.0,True
2031,APAC,LATAM,0.98437708,70.0,True
2031,APAC,APAC,3.35770454,0.0,False
2031,EU,APAC,1.50844164,65.0,True
2031,EU,MENA,3.53013301,35.0,True
2031,EU,US,1.19907045,45.0,True
2031,MENA,US,3.52513311,50.0,True
2032,LATAM,EU,1.121099,50.0,True
2032,US,EU,5.42894235,45.0,True
2032,ROW,EU,0.3556179,55.0,True
2032,ROW,ROW,0.69153535,0.0,False
2032,APAC,ROW,0.35461748,40.0,True
2032,APAC,LATAM,1.12009911,70.0,True
2032,APAC,APAC,3.90430781,0.0,False
2032,EU,APAC,1.4737164,65.0,True
2032,EU,MENA,4.0393444,35.0,True
2032,EU,US,1.3935989,45.0,True
2032,MENA,US,4.03434264,50.0,True
2033,LATAM,EU,1.26321815,50.0,True
2033,US,EU,6.15914505,45.0,True
2033,ROW,EU,0.49941218,55.0,True
2033,ROW,ROW,0.68725752,0.0,False
2033,APAC,ROW,0.4984118,40.0,True
2033,APAC,LATAM,1.26221853,70.0,True
2033,APAC,APAC,4.15766042,0.0,False
2033,EU,APAC,1.75963021,65.0,True
2033,EU,MENA,4.57737104,35.0,True
2033,EU,US,1.58577395,45.0,True
2033,MENA,US,4.57237125,50.0,True
2034,LATAM,EU,1.4119809,50.0,True
2034,US,EU,6.9168495,45.0,True
2034,ROW,EU,0.333963,55.0,True
2034,ROW,ROW,1.0000746,0.0,False
2034,APAC,ROW,0.33296295,40.0,True
2034,APAC,LATAM,1.41098077,70.0,True
2034,APAC,APAC,4.74223458,0.0,False
2034,EU,APAC,1.74294374,65.0,True
2034,EU,MENA,5.1455524,35.0,True
2034,EU,US,1.77529801,45.0,True
2034,MENA,US,5.14055099,50.0,True
2035,LATAM,EU,1.5676397,50.0,True
2035,US,EU,7.7031267,45.0,True
2035,ROW,EU,0.170611,55.0,True
2035,ROW,ROW,1.31901145,0.0,False
2035,APAC,ROW,0.16961105,40.0,True
2035,APAC,LATAM,1.56663995,70.0,True
2035,APAC,APAC,5.3477204,0.0,False
2035,EU,APAC,1.73525128,65.0,True
2035,EU,MENA,5.74528522,35.0,True
2035,EU,US,1.96184065,45.0,True
2035,MENA,US,5.74028651,50.0,True
2036,LATAM,EU,1.7304589,50.0,True
2036,US,EU,8.51909525,45.0,True
2036,ROW,EU,0.64359632,55.0,True
2036,ROW,ROW,1.01020873,0.0,False
2036,APAC,ROW,0.64259606,40.0,True
2036,APAC,LATAM,1.72945923,70.0,True
2036,APAC,APAC,5.34095351,0.0,False
2036,EU,APAC,2.37105521,65.0,True
2036,EU,MENA,6.3780259,35.0,True
2036,EU,US,2.14506969,45.0,True
2036,MENA,US,6.37302549,50.0,True
2037,LATAM,EU,1.87983535,50.0,True
2037,US,EU,9.29223485,45.0,True
2037,ROW,EU,0.48149714,55.0,True
2037,ROW,ROW,1.32541841,0.0,False
2037,APAC,ROW,0.48049719,40.0,True
