year,region,clearing_price_usd_per_mt,pricing_regime,shadow_price_usd_per_mt,supply_cost_usd_per_mt,transport_premium_usd_per_mt,mandate_premium_usd_per_mt,carbon_offset_usd_per_mt,margin_usd_per_mt
2025,EU,2500.0,wtp_priority_allocation,987.8,949.6,38.2,0.0,0.0,1512.2
2025,US,981.27,wtp_priority_allocation,994.6,949.6,45.0,0.0,0.0,0.0
2025,APAC,1138.3,wtp_priority_allocation,1005.3,949.6,55.7,0.0,0.0,133.0
2025,MENA,1022.5,wtp_priority_allocation,984.6,949.6,35.0,0.0,0.0,37.9
2025,LATAM,1193.61,wtp_priority_allocation,985.1,925.1,60.0,0.0,0.0,208.51
2025,ROW,1279.91,wtp_priority_allocation,975.1,925.1,50.0,0.0,0.0,304.81
2026,EU,2550.0,wtp_priority_allocation,858.49,806.64,51.85,0.0,0.0,1691.51
2026,US,981.27,wtp_priority_allocation,952.01,907.01,45.0,0.0,0.0,29.26
2026,APAC,1138.3,wtp_priority_allocation,958.18,907.01,51.17,0.0,0.0,180.12
2026,MENA,1022.5,wtp_priority_allocation,942.01,907.01,35.0,0.0,0.0,80.49
2026,LATAM,1193.61,wtp_priority_allocation,912.22,852.22,60.0,0.0,0.0,281.39
2026,ROW,1279.91,wtp_priority_allocation,893.65,852.22,41.43,0.0,0.0,386.26
2027,EU,2600.0,wtp_priority_allocation,893.51,846.24,47.27,0.0,0.0,1706.49
2027,US,981.27,wtp_priority_allocation,1389.82,1340.94,48.88,0.0,0.0,0.0
2027,APAC,1138.3,wtp_priority_allocation,1030.92,998.78,32.13,0.0,0.0,107.38
2027,MENA,1022.5,wtp_priority_allocation,1033.78,998.78,35.0,0.0,0.0,0.0
2027,LATAM,1193.61,wtp_priority_allocation,966.48,896.48,70.0,0.0,0.0,227.13
2027,ROW,1279.91,wtp_priority_allocation,941.01,896.48,44.53,0.0,0.0,338.9
2028,EU,2650.0,wtp_priority_allocation,866.54,819.34,47.2,0.0,0.0,1783.46
2028,US,981.27,wtp_priority_allocation,1365.88,1317.1,48.78,0.0,0.0,0.0
2028,APAC,1138.3,wtp_priority_allocation,1002.35,994.02,8.33,0.0,0.0,135.95
2028,MENA,1022.5,wtp_priority_allocation,1029.02,994.02,35.0,0.0,0.0,0.0
2028,LATAM,1193.61,wtp_priority_allocation,1044.02,994.02,50.0,0.0,0.0,149.59
2028,ROW,1279.91,wtp_priority_allocation,1047.81,1004.67,43.14,0.0,0.0,232.1
2029,EU,2700.0,wtp_priority_allocation,851.63,804.29,47.33,0.0,0.0,1848.37
2029,US,981.27,wtp_priority_allocation,1354.34,1305.6,48.74,0.0,0.0,0.0
2029,APAC,1138.3,wtp_priority_allocation,980.48,976.28,4.2,0.0,0.0,157.82
2029,MENA,1022.5,wtp_priority_allocation,1011.28,976.28,35.0,0.0,0.0,11.22
2029,LATAM,1193.61,wtp_priority_allocation,1026.28,976.28,50.0,0.0,0.0,167.33
2029,ROW,1279.91,wtp_priority_allocation,1021.7,969.49,52.21,0.0,0.0,258.21
2030,EU,2750.0,wtp_priority_allocation,842.21,795.05,47.16,0.0,0.0,1907.79
2030,US,981.27,wtp_priority_allocation,1349.27,1300.54,48.73,0.0,0.0,0.0
2030,APAC,1138.3,wtp_priority_allocation,1015.73,992.73,23.0,0.0,0.0,122.57
2030,MENA,1022.5,wtp_priority_allocation,1027.73,992.73,35.0,0.0,0.0,0.0
2030,LATAM,1193.61,wtp_priority_allocation,1011.53,941.53,70.0,0.0,0.0,182.08
2030,ROW,1279.91,wtp_priority_allocation,983.5,941.53,41.97,0.0,0.0,296.41
2031,EU,2800.0,wtp_priority_allocation,836.34,789.09,47.26,0.0,0.0,1963.66
2031,US,981.27,wtp_priority_allocation,1347.94,1299.2,48.73,0.0,0.0,0.0
2031,APAC,1138.3,wtp_priority_allocation,1001.77,981.62,20.15,0.0,0.0,136.53
2031,MENA,1022.5,wtp_priority_allocation,1016.62,981.62,35.0,0.0,0.0,5.88
2031,LATAM,1193.61,wtp_priority_allocation,988.83,918.83,70.0,0.0,0.0,204.78
2031,ROW,1279.91,wtp_priority_allocation,967.35,918.83,48.51,0.0,0.0,312.56
2032,EU,2850.0,wtp_priority_allocation,821.33,775.0,46.33,0.0,0.0,2028.67
2032,US,981.27,wtp_priority_allocation,1336.61,1287.9,48.72,0.0,0.0,0.0
2032,APAC,1138.3,wtp_priority_allocation,986.75,968.94,17.81,0.0,0.0,151.55
2032,MENA,1022.5,wtp_priority_allocation,1003.94,968.94,35.0,0.0,0.0,18.56
2032,LATAM,1193.61,wtp_priority_allocation,972.77,902.77,70.0,0.0,0.0,220.84
2032,ROW,1279.91,wtp_priority_allocation,916.33,902.77,13.56,0.0,0.0,363.58
2033,EU,2900.0,wtp_priority_allocation,821.43,775.0,46.43,0.0,0.0,2078.57
2033,US,981.27,wtp_priority_allocation,1329.15,1280.43,48.71,0.0,0.0,0.0
